ID;lat;lng;Inwoners
2311;52,155929;4,489121;11.355
2312;52,16134;4,493255;15.260
2313;52,150299;4,501009;12.380
2314;52,150391;4,515009;6.200
2315;52,16334;4,510335;8.715
2316;52,168447;4,497329;10.720
2317;52,17676;4,510158;10.720
2318;52,178849;4,500912;3.250
2321;52,147943;4,481043;12.795
2322;52,139427;4,49774;225
2323;52,131764;4,480448;170
2324;52,144827;4,471378;9.970
2331;52,152021;4,449859;10.705
2332;52,160386;4,462739;10.545
2333;52,167158;4,467386;4.295
2334;52,174422;4,481533;2.805
